option_type,strike,moneyness,bid,ask,mid,implied_vol,volume,openInterest,lastTradeDate
put,6980.0,0.9130239661320583,39.6,40.4,40.0,0.22187156086912896,7.0,0,2026-09-10 19:53:21+00:00
put,6985.0,0.9136779947610927,39.8,40.6,40.2,0.22098935266078928,1.0,0,2026-09-10 15:39:37+00:00
put,6990.0,0.9143320233901271,40.2,41.0,40.6,0.22044605517424862,3.0,0,2026-09-10 18:39:52+00:00
put,6995.0,0.9149860520191615,40.5,41.4,40.95,0.2198101127213099,1.0,0,2026-09-10 18:40:51+00:00
put,7000.0,0.9156400806481959,40.9,41.5,41.2,0.21899875647522823,121.0,0,2026-09-10 20:14:43+00:00
put,7005.0,0.9162941092772304,41.3,42.1,41.7,0.2186026598005775,2.0,0,2026-09-10 13:57:38+00:00
put,7010.0,0.9169481379062648,41.7,42.5,42.1,0.2180301144703374,4.0,0,2026-09-10 15:00:46+00:00
put,7015.0,0.9176021665352992,42.0,42.9,42.45,0.21736737976253118,1.0,0,2026-09-10 13:54:33+00:00
put,7020.0,0.9182561951643337,42.5,43.3,42.9,0.2168626770508871,2.0,0,2026-09-10 19:37:13+00:00
put,7025.0,0.9189102237933681,43.0,43.8,43.4,0.21643101738454165,6.0,0,2026-09-10 19:44:29+00:00
put,7030.0,0.9195642524224025,43.3,44.1,43.7,0.2156657989619089,3.0,0,2026-09-09 19:54:16+00:00
put,7035.0,0.920218281051437,43.7,44.5,44.1,0.2150564452156739,1.0,0,2026-08-20 17:19:58+00:00
put,7040.0,0.9208723096804714,44.2,45.0,44.6,0.21459979511981425,16.0,0,2026-09-10 15:37:42+00:00
put,7045.0,0.9215263383095058,44.4,45.3,44.849999999999994,0.21373665721649873,23.0,0,2026-09-09 14:00:02+00:00
put,7050.0,0.9221803669385402,45.0,45.5,45.25,0.21310631116399079,124.0,0,2026-09-10 20:13:18+00:00
put,7055.0,0.9228343955675746,45.5,46.3,45.9,0.21286088026037833,1.0,0,2026-09-09 14:00:02+00:00
put,7060.0,0.923488424196609,45.8,46.7,46.25,0.21213604686595391,3.0,0,2026-09-10 19:33:51+00:00
put,7065.0,0.9241424528256434,46.1,47.0,46.55,0.21132778355736215,7.0,0,2026-09-10 16:11:20+00:00
put,7070.0,0.924796481454678,46.7,47.6,47.150000000000006,0.21097582571350548,10.0,0,2026-09-10 15:37:42+00:00
put,7075.0,0.9254505100837124,47.1,48.0,47.55,0.21030751124102345,5.0,0,2026-09-10 18:24:40+00:00
put,7080.0,0.9261045387127468,47.6,48.5,48.05,0.20978399443080248,1.0,0,2026-09-09 15:16:42+00:00
put,7085.0,0.9267585673417812,48.0,48.8,48.4,0.20902566886066967,2.0,0,2026-09-10 15:55:28+00:00
put,7090.0,0.9274125959708156,48.4,49.3,48.849999999999994,0.20841124782176335,11.0,0,2026-09-10 18:39:52+00:00
put,7095.0,0.92806662459985,48.8,49.7,49.25,0.20771469450873056,18.0,0,2026-09-10 18:31:49+00:00
put,7100.0,0.9287206532288845,49.4,50.0,49.7,0.2070853467583676,89.0,0,2026-09-10 19:59:15+00:00
put,7105.0,0.9293746818579189,49.9,50.8,50.349999999999994,0.20674206214015434,1.0,0,2026-09-09 16:54:34+00:00
put,7110.0,0.9300287104869533,50.4,51.3,50.849999999999994,0.20616851601268618,2.0,0,2026-09-10 13:35:04+00:00
put,7115.0,0.9306827391159878,50.8,51.7,51.25,0.2054416138076354,9.0,0,2026-09-10 16:11:20+00:00
put,7120.0,0.9313367677450222,51.2,52.2,51.7,0.2047801062888307,23.0,0,2026-09-10 14:39:43+00:00
put,7125.0,0.9319907963740566,51.7,52.7,52.2,0.2041826755737805,9.0,0,2026-09-10 16:11:26+00:00
put,7130.0,0.932644825003091,52.3,53.2,52.75,0.2036479713179641,3.0,0,2026-09-10 13:46:39+00:00
put,7135.0,0.9332988536321255,52.9,53.8,53.349999999999994,0.20317461709500007,2.0,0,2026-09-04 16:08:15+00:00
put,7140.0,0.9339528822611599,53.5,54.4,53.95,0.20269114576950048,2.0,0,2026-09-10 15:56:52+00:00
put,7145.0,0.9346069108901943,53.8,54.8,54.3,0.2018493826170174,16.0,0,2026-09-10 15:01:00+00:00
put,7150.0,0.9352609395192287,54.5,55.0,54.75,0.2011405149674561,21.0,0,2026-09-10 18:48:23+00:00
put,7155.0,0.9359149681482631,54.9,55.8,55.349999999999994,0.20063090142872936,3.0,0,2026-09-10 18:24:55+00:00
put,7160.0,0.9365689967772975,55.4,56.3,55.849999999999994,0.19997467039981034,28.0,0,2026-09-10 18:19:43+00:00
put,7165.0,0.9372230254063321,56.0,56.9,56.45,0.19944630675240127,1.0,0,2026-09-10 13:37:39+00:00
put,7170.0,0.9378770540353665,56.7,57.7,57.2,0.19911061297840973,1.0,0,2026-09-09 13:57:14+00:00
put,7175.0,0.9385310826644009,57.1,58.0,57.55,0.19822628038179776,127.0,0,2026-09-10 20:08:03+00:00
put,7180.0,0.9391851112934353,57.6,58.7,58.150000000000006,0.1976697565838305,71.0,0,2026-09-10 19:59:47+00:00
put,7185.0,0.9398391399224697,58.3,59.3,58.8,0.19716988694291274,92.0,0,2026-09-10 18:24:55+00:00
put,7190.0,0.9404931685515041,58.8,59.8,59.3,0.1964622434145137,352.0,0,2026-09-10 19:59:47+00:00
put,7195.0,0.9411471971805385,59.7,60.6,60.150000000000006,0.19620445646803408,9.0,0,2026-09-10 18:16:20+00:00
put,7200.0,0.941801225809573,60.2,60.7,60.45,0.19521851733655088,1852.0,0,2026-09-10 20:11:24+00:00
put,7205.0,0.9424552544386074,60.7,61.7,61.2,0.1948092609130577,5.0,0,2026-09-10 15:20:41+00:00
put,7210.0,0.9431092830676419,61.4,62.4,61.9,0.1943240263921312,37.0,0,2026-09-10 19:56:30+00:00
put,7215.0,0.9437633116966763,61.8,62.8,62.3,0.1934452770989449,1.0,0,2026-09-10 18:07:31+00:00
put,7220.0,0.9444173403257107,62.6,63.6,63.1,0.19306757935850688,11.0,0,2026-09-10 19:50:38+00:00
put,7225.0,0.9450713689547451,63.3,64.3,63.8,0.19255151467319578,43.0,0,2026-09-10 20:11:24+00:00
put,7230.0,0.9457253975837795,63.7,64.7,64.2,0.1916490960333152,3.0,0,2026-09-10 14:45:03+00:00
put,7235.0,0.946379426212814,64.5,65.5,65.0,0.1912385273630807,19.0,0,2026-09-10 18:16:20+00:00
put,7240.0,0.9470334548418484,65.2,66.2,65.7,0.19069208732344528,3.0,0,2026-09-10 15:46:08+00:00
put,7245.0,0.9476874834708828,65.8,66.8,66.3,0.19001215435038363,8.0,0,2026-09-10 18:23:35+00:00
put,7250.0,0.9483415120999172,66.5,67.2,66.85,0.18926204306188488,33.0,0,2026-09-10 19:01:58+00:00
put,7255.0,0.9489955407289516,67.1,68.1,67.6,0.1887467343275361,1.0,0,2026-09-10 15:55:12+00:00
put,7260.0,0.9496495693579861,67.8,68.8,68.3,0.1881598669588386,10.0,0,2026-09-10 19:01:58+00:00
put,7265.0,0.9503035979870206,68.5,69.5,69.0,0.1875626223843877,1.0,0,2026-09-09 14:22:53+00:00
put,7270.0,0.950957626616055,69.2,70.3,69.75,0.18701472336614428,3.0,0,2026-09-09 20:05:33+00:00
put,7275.0,0.9516116552450894,70.1,71.1,70.6,0.1865744417576101,57.0,0,2026-09-10 19:45:30+00:00
